Year,City,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property Crime,Burglary,Larceny,Motor Theft,Arson,Total
2018,Adelanto,"34,429",239,0,25,40,174,610,175,336,99,19,"1,717"
2018,Agoura Hills,"20,744",27,0,5,8,14,274,64,186,24,3,605
2018,Alameda,"79,951",184,1,13,75,95,"2,123",196,"1,576",351,18,"4,632"
2018,Albany,"20,379",37,1,2,28,6,608,69,492,47,3,"1,293"
2018,Alhambra,"85,718",193,3,14,88,88,"1,930",328,"1,346",256,16,"4,262"
2018,Aliso Viejo,"52,183",43,0,11,10,22,445,66,348,31,1,977
2018,Alturas,"2,501",24,0,0,3,21,76,27,38,11,1,201
2018,American Canyon,"20,339",56,0,8,13,35,405,54,311,40,0,922
2018,Anaheim,"354,743","1,192",7,142,407,636,"8,702","1,408","5,921","1,373",27,"19,815"
2018,Anderson,"10,433",64,1,6,12,45,388,89,201,98,4,908
2018,Angels Camp,"3,808",10,0,0,0,10,80,22,50,8,0,180
2018,Antioch,"112,956",602,7,56,213,326,"3,330",641,"2,087",602,92,"7,956"
2018,Apple Valley,"73,631",227,5,17,55,150,"1,459",279,917,263,15,"3,387"
2018,Arcadia,"59,151",76,1,8,41,26,"1,420",372,969,79,5,"2,997"
2018,Arcata,"18,073",64,1,15,14,34,665,89,512,64,12,"1,470"
2018,Arroyo Grande,"18,244",24,0,3,3,18,286,37,225,24,4,624
2018,Artesia,"16,959",82,1,3,34,44,335,107,180,48,1,835
2018,Arvin,"21,560",207,3,7,27,170,382,89,172,121,20,"1,198"
2018,Atascadero,"30,716",99,0,15,9,75,428,63,330,35,3,"1,057"
2018,Atherton,"7,285",5,0,3,2,0,107,31,73,3,0,224
2018,Atwater,"29,565",179,2,6,21,150,910,163,561,186,16,"2,194"
2018,Auburn,"14,094",72,0,3,9,60,192,51,123,18,3,531
2018,Avalon,"3,769",4,0,1,0,3,41,9,27,5,0,90
2018,Avenal,"12,084",44,1,2,1,40,118,43,57,18,0,324
2018,Azusa,"50,393",193,3,25,63,102,"1,122",221,716,185,9,"2,639"
2018,Bakersfield,"385,609","1,895",31,113,811,940,"16,097","4,025","9,295","2,777",275,"36,259"
2018,Baldwin Park,"76,541",287,3,35,71,178,"1,386",240,843,303,1,"3,347"
2018,Banning,"31,451",135,6,17,28,84,531,191,217,123,0,"1,332"
2018,Barstow,"24,095",285,2,14,96,173,"1,102",348,584,170,32,"2,806"
2018,Bear Valley,"5,500",5,0,1,0,4,118,5,113,0,0,246
2018,Beaumont,"48,559",208,1,17,24,166,871,163,570,138,3,"2,161"
2018,Bell,"35,857",184,3,10,45,126,495,120,266,109,0,"1,358"
2018,Bellflower,"77,937",335,4,25,118,188,"1,688",331,963,394,10,"4,056"
2018,Bell Gardens,"42,845",117,2,6,53,56,633,85,306,242,4,"1,504"
2018,Belmont,"27,325",40,0,10,10,20,424,58,336,30,1,929
2018,Belvedere,"2,134",0,0,0,0,0,11,4,6,1,0,22
2018,Benicia,"28,536",34,0,7,17,10,382,71,229,82,2,834
2018,Berkeley,"123,735",586,1,65,353,167,"5,381",829,"4,004",548,31,"11,965"
2018,Beverly Hills,"34,557",106,0,14,42,50,"1,757",405,"1,282",70,5,"3,731"
2018,Big Bear,"5,296",36,1,4,3,28,171,44,109,18,1,415
2018,Biggs,"1,712",10,0,0,2,8,34,9,20,5,0,88
2018,Bishop,"3,744",41,0,6,4,31,232,26,201,5,0,546
2018,Blythe,"19,517",71,1,6,23,41,684,213,440,31,35,"1,545"
2018,Bradbury,"1,100",2,0,0,0,2,13,9,4,0,0,30
2018,Brawley,"26,590",154,1,4,18,131,657,112,494,51,19,"1,641"
2018,Brea,"43,279",83,1,7,29,46,"1,293",159,"1,068",66,5,"2,757"
2018,Brentwood,"64,118",152,1,7,39,105,"1,317",211,"1,021",85,1,"2,939"
2018,Brisbane,"4,786",9,0,1,1,7,93,39,51,3,1,205
2018,Broadmoor,"4,440",14,2,1,5,6,78,24,36,18,0,184
2018,Buellton,"5,176",3,0,0,0,3,51,4,41,6,0,108
2018,Buena Park,"83,336",257,0,17,74,166,"2,583",265,"1,977",341,2,"5,682"
2018,Burbank,"105,041",229,0,18,77,134,"2,625",276,"2,135",214,8,"5,716"
2018,Burlingame,"30,959",58,0,9,19,30,921,177,684,60,4,"1,962"
2018,Calabasas,"24,309",26,0,8,3,15,363,81,269,13,0,778
2018,Calexico,"40,596",87,0,6,19,62,"1,064",320,576,168,40,"2,342"
2018,California City,"14,051",47,4,2,8,33,393,196,137,60,0,880
2018,Calimesa,"8,953",12,0,0,3,9,202,36,129,37,0,428
