Year,City,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property Crime,Burglary,Larceny,Motor Theft,Arson,Total
2019,Big Bear,5311,76,0,7,4,65,135,30,92,13,0,422
2019,Biggs,1726,3,0,1,0,2,17,3,10,4,0,40
2019,Bishop,3731,34,0,9,6,19,183,29,150,4,0,434
2019,Blythe,19889,92,0,7,29,56,644,177,434,33,44,1516
2019,Bradbury,1089,1,0,0,1,0,10,2,6,2,0,22
2019,Brawley,26379,121,2,4,8,107,618,95,468,55,15,1493
2019,Brea,44155,72,0,10,29,33,1450,169,1209,72,3,3047
2019,Brentwood,65483,166,0,16,67,83,1335,142,1095,98,11,3013
2019,Brisbane,4746,10,0,2,0,8,137,64,52,21,1,295
2019,Broadmoor,4446,11,0,2,7,2,82,15,55,12,0,186
2019,Buellton,5142,3,0,0,0,3,54,15,31,8,0,114
2019,Buena Park,82627,246,1,15,91,139,2061,230,1567,264,1,4615
2019,Burbank,103738,189,1,11,54,123,2617,299,2107,211,4,5616
2019,Burlingame,30677,74,0,9,25,40,1185,162,937,86,4,2522
2019,Calabasas,24016,35,1,6,15,13,331,81,226,24,1,733
2019,Calexico,40327,94,0,3,21,70,894,244,470,180,56,2032
2019,California City,14319,83,0,13,15,55,281,102,120,59,3,731
2019,Calimesa,9073,22,0,0,7,15,280,51,193,36,0,604
2019,Calistoga,5341,6,0,0,0,6,70,7,54,9,0,152
2019,Camarillo,69628,58,0,22,16,20,817,100,676,41,2,1752
2019,Campbell,42697,89,0,22,21,46,1357,209,990,158,13,2905
2019,Canyon Lake,11353,15,0,0,1,14,74,15,47,12,0,178
2019,Capitola,10101,30,0,3,6,21,528,53,454,21,2,1118
2019,Carlsbad,117220,240,3,40,39,158,2135,297,1671,167,11,4761
2019,Carmel,3877,11,0,0,0,11,103,20,81,2,0,228
2019,Carpinteria,13514,11,1,0,3,7,155,19,116,20,0,332
2019,Carson,91947,444,5,31,122,286,2004,328,1277,399,14,4910
2019,Cathedral City,55346,144,7,19,48,70,602,182,227,193,4,1496
2019,Central Marin,34793,32,0,6,10,16,1094,360,684,50,0,2252
2019,Ceres,49134,209,1,12,59,137,1158,239,628,291,20,2754
